host,ip
192.168.100.1, Groupe 1 Machine 1
192.168.100.2, Groupe 1 Machine 2
192.168.100.3, Groupe 1 Machine 3
192.168.100.4, Groupe 1 Machine 4
192.168.100.254, Groupe 1 Machine Routeur
172.16.20.1,Groupe 2 Machine 1
172.16.20.2,Groupe 2 Machine 2
172.16.20.3,Groupe 2 Machine 3
172.16.20.4,Groupe 2 Machine 4
172.16.20.254,Groupe 2 Machine Routeur
10.1.1.1,Groupe 3 Machine 1
10.1.1.2,Groupe 3 Machine 2
10.1.1.3,Groupe 3 Machine 3
10.1.1.4,Groupe 3 Machine 4
10.1.1.254,Groupe 3 Machine Routeur
10.100.200.1,Groupe 4 Machine 1
10.100.200.2,Groupe 4 Machine 2
10.100.200.3,Groupe 4 Machine 3
10.100.200.4,Groupe 4 Machine 4
10.100.200.254,Groupe 4 Machine Routeur
10.0.0.1, interconnect 1
10.0.0.2, interconnect 2
10.0.0.5, interconnect 5
10.0.0.6, interconnect 6
10.0.0.9, interconnect 9
10.0.0.10, interconnect 10
10.0.0.13, interconnect 13
10.0.0.14, interconnect 14